company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
MyGate,"Bengaluru, Non-U.S.",200,2023-02-20,0.3,Other,https://inc42.com/buzz/bengaluru-based-mygate-lays-off-30-workforce-amid-funding-winter/,Series B,79,India,2023-02-20
Basis Technologies,Chicago,40,2023-02-21,0.04,Marketing,https://www.mediapost.com/publications/article/382752/basis-technologies-lays-off-employees-as-it-restru.html,Series B,52,United States,2023-06-20
Green Labs,"Seoul, Non-U.S.",350,2023-02-21,0.7,Food,https://techcrunch.com/2023/03/30/green-labs-secures-38-4m-in-debt-financing-about-a-month-after-conducting-layoff/,Series C,214,South Korea,2023-02-21
Polygon,"Bengaluru, Non-U.S.",100,2023-02-21,0.2,Crypto,https://inc42.com/buzz/polygon-lays-off-20-of-its-workforce-as-part-of-consolidation-process/,Unknown,451,India,2023-02-21
Synamedia,"London, Non-U.S.",200,2023-02-22,0.12,Media,https://www.calcalistech.com/ctechnews/article/hk2uvdqcs,Unknown,,United Kingdom,2023-02-27
Merative,Ann Arbor,200,2023-02-23,0.1,Healthcare,https://www.theregister.com/2023/02/23/merative_job_cuts_ibm_watson/,Acquired,,United States,2023-02-26
OneFootball,"Berlin, Non-U.S.",150,2023-02-23,0.32,Marketing,https://www.businessinsider.de/gruenderszene/business/massenentlassung-onefootball/,Series D,442,Germany,2023-02-24
The Iconic,"Sydney, Non-U.S.",69,2023-02-23,0.06,Retail,https://insideretail.com.au/business/the-iconic-culls-69-roles-as-it-morphs-from-marketplace-to-platform-202302,Unknown,,Australia,2023-02-24
Ericsson,"Stockholm, Non-U.S.",8500,2023-02-24,0.08,Other,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,Post-IPO,663,Sweden,2023-02-24
Twitter,SF Bay Area,200,2023-02-25,0.1,Consumer,https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,Post-IPO,12900,United States,2023-02-26
Amount,Chicago,130,2023-02-27,0.25,Finance,https://www.chicagobusiness.com/finance-banking/fintech-amount-cuts-about-quarter-its-staff,Unknown,283,United States,2023-03-03
Cerebral,SF Bay Area,285,2023-02-27,0.15,Healthcare,https://www.businessinsider.com/cerebral-cuts-15-percent-staff-285-employees-layoffs-february-2023-2,Series C,462,United States,2023-02-27
Outreach,Seattle,70,2023-02-27,0.07,Sales,https://www.geekwire.com/2023/sales-startup-outreach-to-lay-off-70-employees-7-of-workforce-and-slow-office-expansion/,Series G,489,United States,2023-02-28
Palantir,Denver,75,2023-02-27,0.02,Data,https://www.cnbc.com/2023/02/27/palantir-layoffs-75-employees-2percent-of-workforce.html,Post-IPO,3000,United States,2023-02-27
Stytch,SF Bay Area,19,2023-02-27,0.25,Security,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2023/02/27/s-f-startup-stytch-lays-off-25-of-staff.html,Series B,126,United States,2023-03-01
Eventbrite,SF Bay Area,80,2023-02-28,0.08,Consumer,https://www.reuters.com/markets/us/ticketing-service-provider-eventbrite-lay-off-8-workforce-2023-02-28/,Post-IPO,557,United States,2023-03-01
iFood,"Sao Paulo, Non-U.S.",355,2023-03-01,0.06,Food,https://economia.uol.com.br/noticias/redacao/2023/03/01/ifood-demissao-funcionarios.htm,Subsidiary,2100,Brazil,2023-03-02
PayFit,"Paris, Non-U.S.",200,2023-03-01,0.2,HR,https://www.lesechos.fr/start-up/next40-vivatech/payfit-se-separe-de-20-de-ses-effectifs-1910932,Series E,495,France,2023-03-02
Sonder,SF Bay Area,100,2023-03-01,0.14,Travel,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001819395/000181939523000010/son-20230301.htm,Post-IPO,839,United States,2023-03-02
Thoughtworks,Chicago,500,2023-03-01,0.04,Other,https://techcrunch.com/2023/03/01/thoughtworks-layoffs-economic-slowdown/,Post-IPO,748,United States,2023-03-02
Waymo,SF Bay Area,209,2023-03-01,0.08,Transportation,https://www.theinformation.com/articles/alphabets-robotaxi-unit-waymo-says-it-laid-off-8,Subsidiary,5500,United States,2023-03-02
CNET,SF Bay Area,12,2023-03-02,0.1,Media,https://www.theverge.com/2023/3/2/23622231/cnet-layoffs-ai-articles-seo-red-ventures,Acquired,20,United States,2023-03-04
Fittr,"Pune, Non-U.S.",30,2023-03-02,0.11,Fitness,https://inc42.com/buzz/exclusive-fittr-lays-off-11-of-workforce-after-losses-pile-up/,Series A,13,India,2023-03-03
Zscaler,SF Bay Area,177,2023-03-02,0.03,Security,https://www.crn.com/news/security/zscaler-discloses-layoffs-for-3-percent-of-employees,Post-IPO,148,United States,2023-03-03
Embark Trucks,SF Bay Area,230,2023-03-03,0.7,Transportation,https://techcrunch.com/2023/03/03/embark-trucks-lays-off-workers-explores-liquidation-of-self-driving-truck-assets/,Post-IPO,317,United States,2023-03-03
Loft,"Sao Paulo, Non-U.S.",340,2023-03-03,0.15,Real Estate,https://startups.com.br/demissoes/loft/,Unknown,788,Brazil,2023-03-03
Atlassian,"Sydney, Non-U.S.",500,2023-03-06,0.05,Other,https://www.cnbc.com/2023/03/06/atlassian-cuts-5percent-of-headcount-as-it-focuses-on-high-priority-areas.html,Post-IPO,210,Australia,2023-03-07
SiriusXM,New York City,475,2023-03-06,0.08,Media,https://variety.com/2023/digital/news/siriusxm-layoffs-465-employees-1235543907/,Post-IPO,525,United States,2023-03-07
Pristyn Care,"Gurugram, Non-U.S.",300,2023-03-07,0.15,Healthcare,https://yourstory.com/2023/03/sequoia-backed-pristyn-care-lays-off-300-employees-shuts-medical-tourism-vertical,Series E,177,India,2023-03-07
Zwift,Los Angeles,80,2023-03-07,0.15,Fitness,https://www.dcrainmaker.com/2023/03/zwift-layoffs-announces-reducing-workforce.html,Series C,619,United States,2023-03-08
Wattpad,"Toronto, Non-U.S.",42,2023-03-08,0.15,Media,https://betakit.com/wattpad-lays-off-15-percent-of-workforce/,Acquired,117,Canada,2023-03-09
Gopuff,Philadelphia,100,2023-03-09,0.02,Food,https://www.bloomberg.com/news/articles/2023-03-09/gopuff-fires-2-of-workforce-in-latest-round-of-job-cuts#xj4y7vzkg,Series H,3400,United States,2023-03-10
Xero,"Wellington, Non-U.S.",800,2023-03-09,0.15,Finance,https://www.stuff.co.nz/business/300826021/xero-plans-to-cut-up-to-800-jobs,Post-IPO,681,New Zealand,2023-03-09
Anchorage Digital,SF Bay Area,75,2023-03-14,0.2,Crypto,https://www.theinformation.com/briefings/crypto-bank-anchorage-digital-lays-off-20-of-staff,Series D,487,United States,2023-03-15
Avidbots,"Kitchener, Non-U.S.",50,2023-03-14,0.14,Hardware,https://www.therecord.com/business/2023/03/14/very-difficult-decision-kitchener-robotics-firm-avidbots-confirms-layoffs.html,Series C,106,Canada,2023-03-17
Fetch,Madison,100,2023-03-14,0.1,Retail,https://www.theinformation.com/articles/softbank-backed-fetch-rewards-cuts-staff-amid-shopping-slowdown?rc=yjxoek,Series E,581,United States,2023-03-14
Kaleidoscope,Minneapolis,15,2023-03-14,0.3,Finance,https://www.bizjournals.com/twincities/inno/stories/news/2023/03/14/minneapolis-fintech-startup-layoff-kaleidoscope.html,Series A,16,United States,2023-03-17
Boxed,New York City,32,2023-03-15,0.25,Retail,https://www.crainsnewyork.com/technology/e-commerce-firm-boxedcom-shed-25-staff-it-looks-buyer,Post-IPO,365,United States,2023-03-17
Dukaan,"Bengaluru, Non-U.S.",56,2023-03-15,0.3,Retail,https://inc42.com/buzz/exclusive-lightspeed-backed-dukaan-lays-off-30-workforce/,Series A,17,India,2023-03-16
TradeWindow,"Auckland, Non-U.S.",25,2023-03-15,0.3,Finance,https://www.nbr.co.nz/investment/tradewindow-to-cut-a-third-of-workforce/,Series B,24,New Zealand,2023-03-15
Course Hero,SF Bay Area,42,2023-03-16,0.15,Education,https://techcrunch.com/2023/03/16/course-hero-edtech-unicorn-last-valued-at-3-6-billion-conducts-layoffs/,Series C,477,United States,2023-03-16
Freshworks,SF Bay Area,114,2023-03-16,0.02,Support,https://www.moneycontrol.com/news/business/freshworks-undertakes-another-round-of-layoffs-10259901.html,Post-IPO,484,United States,2023-03-16
Leafly,Seattle,40,2023-03-16,0.21,Retail,https://www.geekwire.com/2023/leafly-reportedly-lays-off-employees-for-second-time-in-a-year/,Post-IPO,71,United States,2023-03-17
Runtastic,"Linz, Non-U.S.",70,2023-03-16,0.28,Fitness,"https://www.nachrichten.at/wirtschaft/runtastic-streicht-70-von-250-stellen-in-oesterreich;art15,3804088a",Acquired,,Austria,2023-03-16
Livspace,"Bengaluru, Non-U.S.",100,2023-03-17,0.02,Retail,https://inc42.com/buzz/exclusive-home-decor-unicorn-livspace-lays-off-100-employees/,Series F,431,India,2023-03-20
Symend,"Calgary, Non-U.S.",50,2023-03-17,0.25,Other,https://betakit.com/symend-reduces-team-by-25-percent-in-restructuring-four-months-after-54-million-round/,Series C,148,Canada,2023-03-23
FreshBooks,"Toronto, Non-U.S.",80,2023-03-21,0.1,Finance,https://betakit.com/freshbooks-lays-off-10-percent-of-staff/,Unknown,331,Canada,2023-03-21
